recipe_video_id,item_id
1,142
1,39
1,19
1,54
1,143
1,91
1,2
1,3
1,6
1,24
2,39
2,19
2,31
2,118
2,117
3,16
3,19
3,20
3,54
3,5
3,10
3,7
3,6
3,3
4,142
4,143
4,19
4,2
4,91
4,3
4,144
4,7
5,52
5,54
5,17
5,19
5,48
5,147
5,3
5,86
5,7
6,113
6,61
6,39
6,17
6,19
6,148
6,3
6,144
6,9
6,7
7,115
7,53
7,5
7,17
7,18
7,149
7,35
7,94
8,115
8,5
8,107
8,17
8,119
8,56
8,110
8,7
9,54
9,17
9,19
9,18
9,3
9,11
10,61
10,123
10,54
10,19
10,18
10,17
10,144
10,6
10,95
10,12
10,151
11,147
11,152
11,26
11,31
11,49
11,91
11,3
11,54
11,74
11,150
12,153
12,28
12,91
12,2
12,6
12,156
12,3
12,144
12,18
12,87
12,150
12,154
12,10
13,17
13,152
13,20
13,52
13,2
13,112
13,144
13,19
13,18
14,3
14,87
14,86
14,76
14,157
14,6
14,18
14,7
15,53
15,19
15,104
15,36
15,4
15,2
15,89
15,87
15,20
16,52
16,12
16,2
16,7
17,5
17,12
17,7
17,144
17,14
17,124
17,96
17,3
17,6
17,18
17,19
17,20
18,109
18,17
18,19
18,20
18,18
18,150
18,91
18,2
18,86
18,3
18,6
18,155
18,7
18,38
18,18
19,82
19,52
19,54
19,3
19,6
20,19
20,54
20,39
20,158
20,96
20,157
20,100
20,117
20,95
20,3
20,6
21,115
21,18
21,20
21,100
21,5
21,7
21,149
21,83
22,14
22,19
22,110
22,56
22,159
22,7
22,149
24,39
24,35
24,28
24,54
24,145
24,136
24,61
24,53
24,159
24,149
24,17
24,96
24,160
24,85
24,3
24,150
25,51
25,18
25,20
25,110
25,149
25,3
25,6
25,155
25,86
25,144
25,12
25,5
25,7
26,39
26,18
26,17
26,144
26,3
26,6
26,2
26,10
26,113
26,19
26,7
27,159
27,149
27,5
27,110
27,18
27,3
27,147
27,162
28,6
28,3
28,159
28,17
28,20
30,51
30,5
30,6
30,87
30,88
30,165
30,10
30,7
30,18
30,80
30,17
30,19
30,130
31,53
31,104
31,164
31,21
31,19
31,49
31,48
31,166
31,3
31,87
31,6
31,54
31,113
32,113
32,165
32,19
32,54
33,51
33,18
33,38
33,5
33,7
33,3
33,10
33,119
33,96
33,80
33,123
34,18
34,107
34,17
34,50
34,115
34,5
34,149
34,167
34,61
34,94
34,7
34,100
34,83
35,147
35,81
35,56
35,83
35,17
35,18
35,110
35,5
35,7
35,100
36,14
36,5
36,7
36,136
36,33
36,56
36,107
36,94
36,83
36,100
37,108
37,32
37,17
37,34
37,5
37,91
37,95
37,6
37,155
37,168
37,18
37,7
38,54
38,56
38,6
38,5
38,110
38,120
39,120
39,54
39,12
39,5
39,7
39,149
39,96
39,80
39,17
39,32
39,100
39,133
40,147
40,19
40,54
40,144
40,7
41,169
41,52
41,17
41,152
41,38
41,19
41,3
41,144
41,6
41,123
42,104
42,54
42,19
42,18
42,144
42,6
42,3
42,151
42,7
42,20
42,33
43,52
43,123
43,5
43,7
43,170
43,3
43,12
43,123
44,112
44,19
44,6
44,91
45,82
45,119
45,2
46,104
46,35
46,54
46,19
46,5
46,144
46,95
47,81
47,54
47,147
47,96
47,74
47,3
47,6
48,171
48,143
48,83
48,91
48,2
48,3
48,6
49,147
49,61
49,54
49,19
49,31
49,5
49,144
50,113
50,52
50,172
50,19
50,18
50,2
50,144
50,154
50,12
51,30
51,52
51,53
51,19
51,17
51,20
51,147
51,144
51,151
51,3
51,86
51,88
51,18
51,123
51,5
51,10
52,16
52,17
52,31
52,49
52,36
52,3
52,87
52,144
52,6
52,18
52,10
52,150
52,7
53,61
53,118
53,125
53,96
53,173
53,80
53,6
53,5
54,53
54,33
54,17
54,49
54,20
54,174
54,123
54,54
54,3
54,5
54,144
55,21
55,52
55,5
55,7
55,87
55,6
55,12
55,2
55,165
56,81
56,147
56,54
56,3
56,6
56,96
56,74
56,10
57,143
57,22
57,17
57,19
57,20
57,7
57,89
57,67
57,76
58,108
58,142
58,176
58,18
58,2
58,7
58,150
58,162
59,22
59,17
59,19
59,76
59,67
59,61
59,18
59,153
59,152
59,54
59,150
59,7
59,74
59,82
59,165
60,54
60,147
60,5
60,95
60,31
60,17
60,19
60,57
61,143
61,17
61,20
61,3
61,18
61,6
61,144
61,2
61,155
61,7
61,10
61,150
62,54
62,147
62,74
62,86
62,85
62,5
62,10
62,96
62,146
63,153
63,3
63,6
63,10
63,19
63,54
63,150
63,2
64,54
64,5
64,7
64,56
64,87
64,10
64,20
64,31
64,19
